Metric,Value
lr,0.0003097430800263761
wd,0.21820000000000003
mom,0.9959600000000001
last_layer_lr,0.0
current_batch_size,4.0
total_loss,13.888579968611399
dino_local_crops_loss,9.893691349029542
dino_global_crops_loss,1.2367614452044169
koleo_loss,0.022165075937906897
ibot_loss,2.7359620984395354
memory,3848.29052734375
