Metric,Value
lr,0.00012674500000000002
wd,0.21820000000000003
mom,0.9959600000000001
last_layer_lr,0.0
current_batch_size,1.0
total_loss,inf
dino_local_crops_loss,9.945508460998536
dino_global_crops_loss,1.2431887245178224
koleo_loss,inf
ibot_loss,2.8119882988929747
memory,3945.42431640625
