Metric,Value
lr,0.0003097430800263761
wd,0.21820000000000003
mom,0.9959600000000001
last_layer_lr,0.0
current_batch_size,4.0
total_loss,13.906213579972594
dino_local_crops_loss,9.890500685373944
dino_global_crops_loss,1.236355680624644
koleo_loss,0.037023350397745736
ibot_loss,2.742333863576254
memory,1388.7415991210937
